combined_index,endpoint_variant_id,openrouter_model_id,provider_name,endpoint_tag,quantization,provider_error_count,deliberation_score,completed_count,result_rows,schema_violation_count,timeout_count,context_limit_error_count,run_dir
26,openrouter:minimax/minimax-m2.7@mara#unknown,minimax/minimax-m2.7,Mara,mara,unknown,0,0.9166666666666666,60,60,6,0,0,evals/variant-runs/26-minimax-minimax-m2.7-mara-mara-unknown
27,openrouter:minimax/minimax-m2.7@together/fp4#fp4,minimax/minimax-m2.7,Together,together/fp4,fp4,0,0.9722222222222222,60,60,21,0,0,evals/variant-runs/27-minimax-minimax-m2.7-together-together-fp4
28,openrouter:minimax/minimax-m2.7@minimax/fp8#fp8,minimax/minimax-m2.7,Minimax,minimax/fp8,fp8,0,1.0,60,60,1,0,0,evals/variant-runs/28-minimax-minimax-m2.7-minimax-minimax-fp8
30,openrouter:minimax/minimax-m2.7@minimax/highspeed#fp8,minimax/minimax-m2.7,Minimax,minimax/highspeed,fp8,0,1.0,60,60,2,0,0,evals/variant-runs/30-minimax-minimax-m2.7-minimax-minimax-highspeed-fp8
32,openrouter:qwen/qwen3-vl-8b-thinking@alibaba#unknown,qwen/qwen3-vl-8b-thinking,Alibaba,alibaba,unknown,0,1.0,60,60,1,0,0,evals/variant-runs/32-qwen-qwen3-vl-8b-thinking-alibaba-alibaba-unknown
38,openrouter:google/gemma-4-26b-a4b-it@cloudflare#unknown,google/gemma-4-26b-a4b-it,Cloudflare,cloudflare,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/38-google-gemma-4-26b-a4b-it-cloudflare-cloudflare-unknown
39,openrouter:google/gemma-4-26b-a4b-it@siliconflow/fp8#fp8,google/gemma-4-26b-a4b-it,SiliconFlow,siliconflow/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/39-google-gemma-4-26b-a4b-it-siliconflow-siliconflow-fp8-fp8
41,openrouter:google/gemma-4-26b-a4b-it@novita/bf16#bf16,google/gemma-4-26b-a4b-it,Novita,novita/bf16,bf16,0,1.0,60,60,0,0,0,evals/variant-runs/41-google-gemma-4-26b-a4b-it-novita-novita-bf16-bf16
42,openrouter:google/gemma-4-26b-a4b-it@nextbit/bf16#bf16,google/gemma-4-26b-a4b-it,NextBit,nextbit/bf16,bf16,0,1.0,60,60,0,0,0,evals/variant-runs/42-google-gemma-4-26b-a4b-it-nextbit-nextbit-bf16-bf16
43,openrouter:google/gemma-4-26b-a4b-it@google-vertex/global#unknown,google/gemma-4-26b-a4b-it,Google,google-vertex/global,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/43-google-gemma-4-26b-a4b-it-google-google-vertex-global-unknown
54,openrouter:minimax/minimax-m2.5@baidu/fp8#fp8,minimax/minimax-m2.5,Baidu,baidu/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/54-minimax-minimax-m2.5-baidu-baidu-fp8-fp8
55,openrouter:minimax/minimax-m2.5@atlas-cloud/fp8#fp8,minimax/minimax-m2.5,AtlasCloud,atlas-cloud/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/55-minimax-minimax-m2.5-atlascloud-atlas-cloud-fp8-fp8
57,openrouter:minimax/minimax-m2.5@friendli#unknown,minimax/minimax-m2.5,Friendli,friendli,unknown,0,0.9722222222222222,60,60,1,0,0,evals/variant-runs/57-minimax-minimax-m2.5-friendli-friendli-unknown
58,openrouter:minimax/minimax-m2.5@minimax/fp8#fp8,minimax/minimax-m2.5,Minimax,minimax/fp8,fp8,0,0.9722222222222222,60,60,2,0,0,evals/variant-runs/58-minimax-minimax-m2.5-minimax-minimax-fp8-fp8
59,openrouter:minimax/minimax-m2.5@novita/fp8#fp8,minimax/minimax-m2.5,Novita,novita/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/59-minimax-minimax-m2.5-novita-novita-fp8-fp8
60,openrouter:minimax/minimax-m2.5@siliconflow/fp8#fp8,minimax/minimax-m2.5,SiliconFlow,siliconflow/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/60-minimax-minimax-m2.5-siliconflow-siliconflow-fp8-fp8
61,openrouter:minimax/minimax-m2.5@parasail/fp8#fp8,minimax/minimax-m2.5,Parasail,parasail/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/61-minimax-minimax-m2.5-parasail-parasail-fp8-fp8
62,openrouter:minimax/minimax-m2.5@wandb/fp8#fp8,minimax/minimax-m2.5,WandB,wandb/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/62-minimax-minimax-m2.5-wandb-wandb-fp8-fp8
65,openrouter:minimax/minimax-m2.5@minimax/highspeed#fp8,minimax/minimax-m2.5,Minimax,minimax/highspeed,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/65-minimax-minimax-m2.5-minimax-minimax-highspeed-fp8
67,openrouter:moonshotai/kimi-k2-thinking@atlas-cloud/int4#int4,moonshotai/kimi-k2-thinking,AtlasCloud,atlas-cloud/int4,int4,0,1.0,60,60,0,0,0,evals/variant-runs/67-moonshotai-kimi-k2-thinking-atlascloud-atlas-cloud-int4-int4
72,openrouter:z-ai/glm-4.6v@novita/bf16#bf16,z-ai/glm-4.6v,Novita,novita/bf16,bf16,0,1.0,60,60,1,0,0,evals/variant-runs/72-z-ai-glm-4.6v-novita-novita-bf16-bf16
